Clade,Genus,Species,GenusFinal,SpeciesFinal,Specimen,Reference,Page,R L,L L,L,R L,L L,L,R L,L L,L,R L,L L,L,L Min Shaft W,R Min Shaft W,Min Shaft W,R Circ,L Circ,Circ,R L,L L,L,R L,L L,L,MC I L,MC II L,MC III L,MC IV L,MC V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,V-1 L,V-2 L,V-3 L,V-4 L,R L,L L,L,R Circ,L Circ,Circ,R Midshaft ML W,L Midshaft ML W,Midshaft ML W,R Midshaft AP L,L Shaft AP L,Shaft AP L,R L,L L,L,R L,L L,L,MT I L,MT II L,MT III L,MT IV L,MT V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,IV-4 L,IV-5 L,Entry 1,Entry 2,,,,,,,Total Entries,Fem Entries,Difference,
Ankylosauria,Hoplitosaurus,marshi,Hoplitosaurus,marshi,USNM 4752,Lull 1921,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Dziak,Mauricio Molina,,,,,,,1,1,0,
Ankylosauria,Hoplitosaurus,marshi,Hoplitosaurus,marshi,USNM 4752,"Varialle, pers. obs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,1,1,0,
Ankylosauria,Polacanthus,marshi,Hoplitosaurus,marshi,USNM 4752,Pereda-Suberbiola 1994,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Rui Castanhinha,,,,,,,1,1,0,
Ankylosauria,,,Hoplitosaurus,marshi,USNM 4752,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,1,1,0,
Ankylosauria,Hoplitosaurus,marshi,Hoplitosaurus,marshi,USNM 4757,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,210,,,88.1,,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Ankylosauria,Hungarosaurus,tormai,Hungarosaurus,tormai,MTM 2007.25.1-30,Ősi & Makádi 2009,4,,,,,,,,,,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,John Dziak,"separate specimen numbers, same individual",,,,,,2,1,1,
Ankylosauria,Hungarosaurus,tormai,Hungarosaurus,tormai,MTM Gyn/404,Osi 2005,379,,,,320,,,,520,,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,Tor Bertin,William Banks Miller,Christian Foth,Fernando Racimo,,,,,5,1,4,
Ankylosauria,Mymoorapelta,maysi,Mymoorapelta,maysi,MWC 1814,Kirkland & Carpenter 1994,29,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,ReBecca Hunt-Foster,,,,,,,1,0,1,
Ankylosauria,Mymoorapelta,maysi,Mymoorapelta,maysi,MWC 5643,"Hunt-Foster, pers. obs.",,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R. Hunt-Foster,N/A,,,,,,,1,0,1,
Ankylosauria,Mymoorapelta,maysi,Mymoorapelta,maysi,MWC uncatologed,"Hunt-Foster, pers. obs.",,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R. Hunt-Foster,N/A,,,,,,,1,0,1,
Ankylosauria,Niobrarasaurus,coleii,Niobrarasaurus,coleii,MU 650 VP,Ford & Kirkland 2001,247-248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,365,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Roman E. Ulansky,,,,,,,2,1,1,
Ankylosauria,Hierosaurus,coleii,Niobrarasaurus,coleii,MU 650 VP,Mehl 1936,10-17,,,,,,,,,,@,,,,@,,,,,,,,@,,,,,,,,,,,,,,,,,,,,,,,,,,@,,,,,,,,,,,,@,,,@,@,@,@,@,@,,,,,,,,,,,,,,,Christian Foth,Robert J. Taylor,Taxonomic note: Now Niobrarasaurus coleii,,,,,,11,1,10,
Ankylosauria,,,Niobrarasaurus,coleii,MU 650 VP,combined,,,,,,,,,,,,,377,,,55,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,513,,,,,,,,,,,,365,,,315,30,66,95,105,90,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,11,1,10,
Ankylosauria,Nodosaurus,textilis,Nodosaurus,textilis,YPM 1815,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,,,,,,101,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,3,3,0,
Ankylosauria,Nodosaurus,textilis,Nodosaurus,textilis,YPM 1815,Ford & Kirkland 2001,247-248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Roman E. Ulansky,,,,,,,2,1,1,
