Clade,Genus,Species,GenusFinal,SpeciesFinal,Specimen,Reference,Page,R L,L L,L,R L,L L,L,R L,L L,L,R L,L L,L,L Min Shaft W,R Min Shaft W,Min Shaft W,R Circ,L Circ,Circ,R L,L L,L,R L,L L,L,MC I L,MC II L,MC III L,MC IV L,MC V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,V-1 L,V-2 L,V-3 L,V-4 L,R L,L L,L,R Circ,L Circ,Circ,R Midshaft ML W,L Midshaft ML W,Midshaft ML W,R Midshaft AP L,L Shaft AP L,Shaft AP L,R L,L L,L,R L,L L,L,MT I L,MT II L,MT III L,MT IV L,MT V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,IV-4 L,IV-5 L,Entry 1,Entry 2,,,,,,,Total Entries,Fem Entries,Difference,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,USNM 4934,Redelstorff & Sander 2009,1088-1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Mauricio Molina,Andrew A. Farke,,,,,,2,2,0,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,USNM 4934,Lull 1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@,,,,,,@,,,,,,@,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Christian Foth,John Dziak,,,,,,3,2,1,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,USNM 4934,Maidment et al 2008,"suppl. xxxii, xxxvi, xliv-xlvi",,,,,,,,,,,,630,,,116,,,,,,530,,,410,,,,,,,,,,,,,,,,,,,,,,1060,990,1060,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,8,3,5,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,USNM 4934,combined,,,,,,,620,,,,,,544,,,,,,,,,540,,,384,,,,,,,,,,,,,,,,,,,,,,,,1053,,,500,,,146,,,127,,,642,,,610,,,,,,,,,,,,,,,,,,,,"Doug Henning, Jr.",,,,,,,,10,4,6,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,USNM 4934,Galton 1982a,58,,,,620,,,,,,572e,530,,,,,,,,540,,,384,,,,,,,,,,,,,,,,,,,,,,,,1080,,,,,,,,,,,,643,,,610,,,,,,,,,,,,,,,,,,,,,,John Dziak,Diane Dawson,from Gilmore 1914 (a few discrepancies with the ODP public data for this specimen),,,,,,8,1,7,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,USNM 4934,Gilmore 1914,"67-70, 83-84",,,,,620,,,,,572,530,,,,,,,,,,540,,,384,,,,,,,,,,,,,,,,,,,,,,1080,1010,,,,,,,,,,,643,,,,,610,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Christian Foth,Robert J. Taylor,,,,,,9,2,7,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,USNM 4934 (mount),personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,144.5,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,2,1,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,USNM 4936,"Varialle, pers. obs.",,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,2,1,1,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,USNM 4936,Maidment et al 2008,"suppl. xxxvi, xliv, xlvi",,,,,,,,,,,,555,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,4,1,3,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,USNM 4936,combined,,,,,,,,,,,,,558,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,4,1,3,
Stegosauria,Stegosaurus,sulcatus,Stegosaurus,armatus,USNM 4937,Gilmore 1914,"68-69, 77",,,,,,,,,,609,,,,118,,,,,,,594,,,463,91,106,126,111,98,31,81,25,,,20,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Christian Foth,Robert J. Taylor,,,,,,14,0,14,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,USNM 4937,combined,,,,,,,,,,,,,595,,,127,,,,,,598,,,451,91,106,126,111,98,31,81,25,,,20,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,14,0,14,
Stegosauria,Stegosaurus or indet.,,Stegosaurus,armatus,USNM 4937 ,Maidment et al 2008,suppl. xliv-xlv,,,,,,,,,,580,,,,135,,,,,590,610,,430,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,6,0,6,
Stegosauria,Stegosaurus,sp.,Stegosaurus,armatus,USNM 6644,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,1,0,1,
Stegosauria,Stegosaurus,ungulatus,Stegosaurus,armatus,USNM 6646,Lull 1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,696,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,John Dziak,,,,,,,2,1,1,
Stegosauria,Stegosaurus,ungulatus,Stegosaurus,armatus,USNM 6646,"Varialle, pers. obs.",,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,2,1,1,
Stegosauria,Stegosaurus,ungulatus,Stegosaurus,armatus,USNM 6646,Gilmore 1914,"68, 83-84",,,,,,,,,,,610,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,696,,,,,,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Christian Foth,Robert J. Taylor,,,,,,4,1,3,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,USNM 6646,Maidment et al 2008,"suppl. xxxvi, xliv-xlvi",,,,,,,,,,,,600,,,120,,,,,,,,,465,,,,,,,,,,,,,,,,,,,,,,,,1180,,,,,,,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,5,1,4,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,USNM 6646,combined,,,,,,,,,,,,,613,,,117,,,,,,,,,465,,,,,,,,,,,,,,,,,,,,,,,,1188,,,,,,,,,,,,694,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,5,1,4,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,USNM 7371,Gilmore 1914,@,,,,,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Christian Foth,Robert J. Taylor,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,armatus,USNM 7379,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,1,0,1,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,USNM 7385,"Varialle, pers. obs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,1,1,0,
Stegosauria,Stegosaurus,sp.,Stegosaurus,armatus,USNM 7385,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,NOTE: Unsure of personal measurement attribution to S. stenops, Tentatively went with Stegosaurus sp. for the combined entry. (Maidment et al 2008 shows as Stegosaurus or indet. stegosaur.),,,,,,1,1,0
Stegosauria,Stegosaurus,? (juvenile),Stegosaurus,armatus,USNM 7401,combined,,,,,,,,,,,,,,,,,,,,,,380,,,325,61,84,82,84,64,21,51,13,60,,11,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,13,0,13,
Stegosauria,Stegosaurus,armatus (ungulatus),Stegosaurus,armatus,USNM 7414,Redelstorff & Sander 2009,1088-1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Mauricio Molina,Andrew A. Farke,,,,,,1,1,0,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,YPM 1387,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157,,,366,,,140.4,,,74.4,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,YPM 1388,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,,,,,,126.6,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,2,0,2,
Stegosauria,Stegosaurus,ungulatus,Stegosaurus,armatus,YPM 1853,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,1,1,0,
Stegosauria,Stegosaurus,ungulatus,Stegosaurus,armatus,YPM 1853,"Varialle, pers. obs.",,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,2,1,1,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,YPM 1853,Maidment et al 2008,"suppl. xxxvi, xliv, xlvi",,,,,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,3,1,2,
Stegosauria,Stegosaurus,ungulatus,Stegosaurus,armatus,YPM 1853,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348,,,425,,,165.7,,,82.1,,,678,,,,,,94,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,6,4,2,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,YPM 1853,combined,,,,,,,,,,,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334,,,425,,,166,,,82,,,678,,,,,,94,,,,,,,,,,,,,,,,,Robert J. Taylor,David Dreisigmeyer,DWD: Corrected Femur midshaft and shaft entries,,,,,,7,4,3,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,YPM 1856,"Varialle, pers. obs.",,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,2,1,1,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,YPM 1856,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,,,313,,,109.8,,,73.3,,,488,,,442,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,6,4,2,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,YPM 1856 (femur),Lull 1921,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Dziak,Mauricio Molina,,,,,,,1,1,0,
Stegosauria,Stegosaurus,stenops,Stegosaurus,armatus,"YPM 1856 (tibia -- ""femur and tibia may represent different individuals"")",Lull 1921,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,John Dziak,Mauricio Molina,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,armatus,YPM 1858,Redelstorff & Sander 2009,1088 (Table 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauricio Molina,Robert J. Taylor,Andrew A. Farke,,,,,,1,1,0,
Stegosauria,Stegosaurus,ungulatus,Stegosaurus,armatus,YPM 1858,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,2,2,0,
Stegosauria,Stegosaurus,ungulatus,Stegosaurus,armatus,YPM 1858,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,168,,,101,,,354.5,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,3,1,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,YPM 1858,Maidment et al 2008,"suppl. xxxvi, xlv-xlvi",,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,1220,,,,,,,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,3,1,2,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,YPM 1858,combined,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,1203,,,,,,168,,,101,,,680,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,NOTE: Discounting tibia length of 355 mm from Matt Carrano's personal observation. (Seems strikingly small compared to the tibia length of Stegosaurus specimens with comparably sized femora.),,,,,,5,3,2,
Stegosauria,Stegosaurus,sp. (juvenile),Stegosaurus,armatus,YPM 4634,combined,,,,,,,,,,,,,285,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,175,,,63,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,6,4,2,
Stegosauria,Stegosaurus,armatus,Stegosaurus,armatus,DMNH 2818,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,,,500,,,148,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,,,,
Stegosauria,Stegosaurus,mjosi,Stegosaurus,mjosi,SMA0018,Maidment et al 2008,"suppl. xxxi-xxxiii, xxxv-xxxvi",,,,,,,,,,,,550,,,110,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,970,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,Was SMA V03,,,,,5,1,4,
Stegosauria,Stegosaurus,sp.,Stegosaurus,mjosi,SMA0018,Redelstorff & Sander 2009,1088 (Table 1),,,,,533+,,,,,545,545,,,,,,,300,425,,,395,382,,,,,,,,,,,,,,,,,,,,,,,,978,,,345,,,,,,,,602,597,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Mauricio Molina,Andrew A. Farke,Note: Adult,,,,,11,2,9,
Stegosauria,Stegosaurus,sp.,Stegosaurus,mjosi,SMA0018,combined,,,,,,,,,,,,,545,,,110,,,300,,,468,,,389,,,,,,,,,,,,,,,,,,,,,,,,974,,,345,,,,,,,,,583,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,,,,
Stegosauria,Stegosaurus,sp.,Stegosaurus,mjosi,SMA0092,Redelstorff & Sander 2009,1088 (Table 1),,,,,400,,,,,403,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,,,289,,,,,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Robert J. Taylor,Mauricio Molina,Note: Adult,,,,,6,2,4,
Stegosauria,Stegosaurus,mjosi,Stegosaurus,mjosi,SMA0092,Maidment et al 2008,"suppl. xxxi-xxxiii, xxxv-xxxvi",,,,,,,,,,,,440,,,85,,,,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,760,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,Was SMA L02,,,,,5,1,4,
Stegosauria,Stegosaurus,mjosi,Stegosaurus,mjosi,SMA0092,combined,,,,,,,400,,,,,,422,,,85,,,255,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,743,,,289,,,,,,,,,447,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,,,,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 1753,"Varialle, pers. obs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,1,1,0,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 337996,"Varialle, pers. obs.",,,,,,,,,,,160,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,4,2,2,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 4280,Gilmore 1914,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,117,100,,,33,,35,,,31,,,,,,,,,Joy MaryAnn Wentz,Robert J. Taylor,,,,,,,6,0,6,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 6644,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 7361,Gilmore 1914,67,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Robert J. Taylor,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 7374,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 7379,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 7384,Gilmore 1914,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Robert J. Taylor,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 7385,Gilmore 1914,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,,,,,,,1,1,0,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 7389,Gilmore 1914,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Robert J. Taylor,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 7390,Gilmore 1914,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Robert J. Taylor,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,USNM 7620,Gilmore 1914,66,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Robert J. Taylor,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,VFSMA001,Redelstorff and Sander 2009,1088,,,,,620,,,,,,438,,,,,,248e,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,790,752,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Robert J. Taylor,Mauricio Molina,Note: Sexually mature but still growing,,,,,7,3,4,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,YPM 4634,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.5,,,174.5,,,63.3,,,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Stegosauria,Stegosaurus,sp.,Stegosaurus,sp.,YPM 4634,"Varialle, pers. obs.",,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,3,2,1,
Stegosauria,Stegosaurus,sp. indet.,Stegosaurus,sp. indet.,BYU uncat,Maidment et al 2008,suppl. xlvii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,1,0,1,
Stegosauria,Stegosaurus,sp. indet.,Stegosaurus,sp. indet.,YPM 1854,Maidment et al 2008,suppl. xliii-xlv,,,,660,580,,,,,,490,,105,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,5,0,5,
Stegosauria,Stegosaurus,sp. indet.,Stegosaurus,sp. indet.,YPM 4836,Maidment et al 2008,"suppl. xliii, xlv",,,,,,780,,,,,,,,,,,,,,,560,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,3,0,3,
Stegosauria,Stegosaurus,armatus,Stegosaurus,stenops,YPM 1856,combined,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,,,313,,,110,,,73,,,559,,,442,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,,,,
Stegosauria,Stegosaurus,,Stegosaurus,,DMNH 21068,Hayashi et al 2009,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Christian Foth,,,,,,,1,0,1,
Stegosauria,Stegosaurus,,Stegosaurus,,DMNH 33359,Hayashi et al 2009,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Christian Foth,,,,,,,1,0,1,
Stegosauria,Stegosaurus,,Stegosaurus,,DNM juv.,Galton 1982b,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,Note: Sub-adult,,,,,,1,1,0,
Stegosauria,Stegosaurus,,Stegosaurus,,NSM-PV 20380,Hayashi et al 2009,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,,,,,,,,,,,,,,,411,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Christian Foth,,,,,,,2,1,1,
Stegosauria,Stegosaurus,stenops,Stegosaurus,,USNM 4929,Galton 1982a,58,,,,,687,,,,,506,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Dziak,Diane Dawson,from Gilmore 1914 (same data as already entered in the ODP public data - do you want duplicate entries?),,,,,,3,0,3,
Stegosauria,Stegosaurus,stenops,Stegosaurus,,USNM 4929,Gilmore 1914,67,,,,,687,,,,,506,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Christian Foth,Robert J. Taylor,,,,,,3,0,3,
Stegosauria,Stegosaurus or indet.,,Stegosaurus,,USNM 4929,Maidment et al 2008,suppl. xliv-xlv,,,,,,,,,,510,520,,120,110,,,,,420,450,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,7,0,7,
Stegosauria,Stegosaurus or indet.,,Stegosaurus,,USNM 4929,combined,,,,,,,687,,,,507,515,,120,110,,,,,420,450,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henrique Niza,John Dziak,,,,,,,8,0,8,
Stegosauria,Stegosaurus,,Stegosaurus,,USNM 6644,Gilmore 1914,@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,,,,,,,,,,,,,,,,,,,,Joy MaryAnn Wentz,Christian Foth,Robert J. Taylor,,,,,,1,0,1,
